Code;Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
1.00;Aatrox;Fighter;TOP;A;58.25;6.52;0.50;0.95;0.04;0.02;1.97
2.00;Ahri;Mage;MID;A;53.21;-0.24;0.50;0.93;0.05;0.01;2.56
3.00;Akali;Assassin;MID;S;65.30;6.51;0.49;0.66;0.08;0.13;2.34
4.00;Akali;Assassin;TOP;A;57.87;3.34;0.49;0.34;0.04;0.13;2.04
5.00;Akshan;Marksman;MID;S;59.85;0.65;0.51;0.58;0.05;0.22;2.23
6.00;Akshan;Marksman;TOP;A;55.89;-0.46;0.52;0.33;0.03;0.22;1.97
7.00;Alistar;Tank;SUPPORT;B;46.08;-2.74;0.50;0.99;0.04;0.01;2.51
8.00;Amumu;Tank;JUNGLE;B;45.69;1.72;0.50;0.83;0.03;0.02;2.62
9.00;Amumu;Tank;SUPPORT;C;35.88;2.55;0.50;0.15;0.00;0.02;2.05
10.00;Anivia;Mage;MID;A;53.38;-1.26;0.52;0.82;0.03;0.03;2.66
11.00;Anivia;Mage;SUPPORT;D;31.74;-1.46;0.48;0.13;0.00;0.03;2.18
12.00;Annie;Mage;MID;A;48.81;6.23;0.52;0.85;0.02;0.01;2.39
13.00;Aphelios;Marksman;ADC;C;35.96;-1.67;0.47;0.98;0.06;0.01;2.03
14.00;Ashe;Marksman;ADC;B;43.08;-9.95;0.50;0.93;0.06;0.01;2.32
15.00;Aurelion Sol;Mage;MID;B;42.15;-2.74;0.51;0.91;0.01;0.00;2.55
16.00;Azir;Mage;MID;D;32.69;2.09;0.47;0.91;0.01;0.00;2.10
17.00;Bard;Support;SUPPORT;A;49.81;2.27;0.50;0.99;0.04;0.01;2.97
18.00;Blitzcrank;Tank;SUPPORT;S;67.80;-0.81;0.52;0.99;0.09;0.18;2.44
19.00;Brand;Mage;SUPPORT;B;45.21;-4.17;0.49;0.79;0.05;0.06;1.77
20.00;Brand;Mage;MID;B;41.21;1.44;0.52;0.13;0.01;0.06;2.04
21.00;Braum;Support;SUPPORT;A;46.74;2.77;0.51;0.99;0.03;0.00;2.79
22.00;Caitlyn;Marksman;ADC;God;88.48;-0.16;0.50;0.99;0.21;0.19;2.31
23.00;Camille;Fighter;TOP;God;84.61;9.60;0.50;0.97;0.07;0.08;1.99
24.00;Cassiopeia;Mage;MID;B;44.08;-2.00;0.50;0.72;0.02;0.01;2.09
25.00;Cassiopeia;Mage;TOP;D;26.20;-7.91;0.49;0.18;0.01;0.01;1.83
26.00;Cho'Gath;Tank;TOP;A;52.76;2.64;0.53;0.73;0.03;0.01;2.20
27.00;Cho'Gath;Tank;MID;C;37.75;-4.65;0.50;0.17;0.01;0.01;2.37
28.00;Corki;Marksman;MID;A;58.20;0.29;0.49;0.93;0.07;0.04;2.17
